"Time","GateState","Distance","Velocity","Acceleration"
1.263176,1,0.000,,
1.284817,0,,,
2.235179,1,0.050,0.052,0.00
2.256861,0,,,
3.180673,1,0.100,0.052,0.00
3.202362,0,,,
4.152713,1,0.150,0.052,0.00
4.174497,0,,,
5.098145,1,0.200,0.052,0.00
5.119890,0,,,
6.070209,1,0.250,0.052,0.00
6.092092,0,,,
7.015579,1,0.300,0.052,0.00
7.037408,0,,,
7.987663,1,0.350,0.052,0.00
8.009663,0,,,
8.932994,1,0.400,0.052,0.00
8.954911,0,,,
9.905114,1,0.450,0.052,0.00
9.927210,0,,,
10.850396,1,0.500,0.052,0.00
10.872403,0,,,
11.822607,1,0.550,0.052,0.00
11.844790,0,,,
12.767814,1,0.600,0.052,0.00
12.789925,0,,,
13.740020,1,0.650,0.052,0.00
13.762287,0,,,
14.685159,1,0.700,0.052,0.00
14.707374,0,,,
15.657440,1,0.750,0.052,0.00
15.679785,0,,,
16.602495,1,0.800,0.052,0.00
16.624815,0,,,
17.574859,1,0.850,,
17.597263,0,,,
