"Time","GateState","Distance","Velocity","Acceleration"
0.977614,1,0.000,,
1.003920,0,,,
1.951100,1,0.050,0.052,0.00
1.977450,0,,,
2.894480,1,0.100,0.052,0.00
2.920819,0,,,
3.868031,1,0.150,0.052,0.00
3.894416,0,,,
4.811316,1,0.200,0.052,0.00
4.837693,0,,,
5.784971,1,0.250,0.052,0.00
5.811387,0,,,
6.728158,1,0.300,0.052,0.00
6.754580,0,,,
7.701910,1,0.350,0.052,0.00
7.728349,0,,,
8.645038,1,0.400,0.052,0.00
8.671512,0,,,
9.618847,1,0.450,0.052,0.00
9.645294,0,,,
10.561971,1,0.500,0.052,0.00
10.588497,0,,,
11.535774,1,0.550,0.052,0.00
11.562249,0,,,
12.478857,1,0.600,0.052,0.00
12.505425,0,,,
13.452602,1,0.650,0.052,0.00
13.479116,0,,,
14.395816,1,0.700,0.052,0.00
14.422405,0,,,
15.369525,1,0.750,0.052,0.00
15.396080,0,,,
16.312749,1,0.800,0.052,0.00
16.339355,0,,,
17.286469,1,0.850,,
17.313077,0,,,
