"Time","GateState","Distance","Velocity","Acceleration"
0.761360,1,0.000,,
0.789322,0,,,
1.731048,1,0.050,0.052,0.00
1.759021,0,,,
2.677703,1,0.100,0.052,0.00
2.705897,0,,,
3.647466,1,0.150,0.052,0.00
3.675569,0,,,
4.594080,1,0.200,0.052,0.00
4.622447,0,,,
5.563807,1,0.250,0.052,0.00
5.592147,0,,,
6.510575,1,0.300,0.052,0.00
6.538864,0,,,
7.480244,1,0.350,0.052,0.00
7.508623,0,,,
8.427095,1,0.400,0.052,0.00
8.455222,0,,,
9.396790,1,0.450,0.052,0.00
9.425011,0,,,
10.343536,1,0.500,0.052,0.00
10.371704,0,,,
11.313305,1,0.550,0.052,0.00
11.341459,0,,,
12.259874,1,0.600,0.052,0.00
12.288257,0,,,
13.229696,1,0.650,0.052,0.00
13.258000,0,,,
14.176285,1,0.700,0.052,0.00
14.204772,0,,,
15.146068,1,0.750,0.052,0.00
15.174561,0,,,
16.092787,1,0.800,0.052,0.00
16.121183,0,,,
17.062544,1,0.850,,
17.091026,0,,,
