"Time","GateState","Distance","Velocity","Acceleration"
0.528749,1,0.000,,
0.558700,0,,,
1.480061,1,0.050,0.052,0.00
1.509967,0,,,
2.437421,1,0.100,0.052,0.00
2.467303,0,,,
3.388613,1,0.150,0.052,0.00
3.418614,0,,,
4.345899,1,0.200,0.052,0.00
4.375979,0,,,
5.297143,1,0.250,0.052,0.00
5.327177,0,,,
6.254446,1,0.300,0.052,0.00
6.284498,0,,,
7.205569,1,0.350,0.052,0.00
7.235749,0,,,
8.162807,1,0.400,0.052,0.00
8.193047,0,,,
9.114007,1,0.450,0.052,0.00
9.144207,0,,,
10.071277,1,0.500,0.052,0.00
10.101514,0,,,
11.022384,1,0.550,0.052,0.00
11.052744,0,,,
11.979672,1,0.600,0.052,0.00
12.010060,0,,,
12.930864,1,0.650,0.052,0.00
12.961217,0,,,
13.888142,1,0.700,0.052,0.00
13.918547,0,,,
14.839260,1,0.750,0.052,0.00
14.869780,0,,,
15.796565,1,0.800,0.052,0.00
15.827096,0,,,
16.747731,1,0.850,0.052,0.00
16.778240,0,,,
17.705040,1,0.900,,
17.735630,0,,,
