"Time","GateState","Distance","Velocity","Acceleration"
0.462979,1,0.000,,
0.504792,0,,,
1.397794,1,0.050,0.052,0.00
1.439721,0,,,
2.377981,1,0.100,0.052,0.00
2.419752,0,,,
3.312907,1,0.150,0.052,0.00
3.354978,0,,,
4.292869,1,0.200,0.052,0.00
4.334679,0,,,
5.228102,1,0.250,0.052,0.00
5.270205,0,,,
6.207747,1,0.300,0.052,0.00
6.249609,0,,,
7.143321,1,0.350,0.052,0.00
7.185419,0,,,
8.122686,1,0.400,0.052,0.00
8.164697,0,,,
9.058402,1,0.450,0.052,0.00
9.100467,0,,,
10.037751,1,0.500,0.052,0.00
10.079895,0,,,
10.973418,1,0.550,0.052,0.00
11.015397,0,,,
11.952849,1,0.600,0.052,0.00
11.995030,0,,,
12.888312,1,0.650,0.052,0.00
12.930311,0,,,
13.868038,1,0.700,0.052,0.00
13.910237,0,,,
14.803176,1,0.750,0.052,0.00
14.845231,0,,,
15.783183,1,0.800,0.052,0.00
15.825311,0,,,
16.718134,1,0.850,0.052,0.00
16.760276,0,,,
17.698233,1,0.900,,
17.740316,0,,,
