"Time","GateState","Distance","Velocity","Acceleration"
0.398548,1,0.000,,
0.431223,0,,,
1.347905,1,0.050,0.052,0.00
1.380563,0,,,
2.309426,1,0.100,0.052,0.00
2.342076,0,,,
3.258587,1,0.150,0.052,0.00
3.291321,0,,,
4.220199,1,0.200,0.052,0.00
4.252841,0,,,
5.169290,1,0.250,0.052,0.00
5.202072,0,,,
6.130956,1,0.300,0.052,0.00
6.163565,0,,,
7.080026,1,0.350,0.052,0.00
7.112835,0,,,
8.041649,1,0.400,0.052,0.00
8.074288,0,,,
8.990767,1,0.450,0.052,0.00
9.023613,0,,,
9.952352,1,0.500,0.052,0.00
9.985025,0,,,
10.901561,1,0.550,0.052,0.00
10.934401,0,,,
11.863066,1,0.600,0.052,0.00
11.895795,0,,,
12.812332,1,0.650,0.052,0.00
12.845160,0,,,
13.773773,1,0.700,0.052,0.00
13.806572,0,,,
14.723058,1,0.750,0.052,0.00
14.755871,0,,,
15.684522,1,0.800,0.052,0.00
15.717374,0,,,
16.633787,1,0.850,0.052,0.00
16.666594,0,,,
17.595255,1,0.900,,
17.628182,0,,,
