"Time","GateState","Distance","Velocity","Acceleration"
0.999200,1,0.000,,
1.020368,0,,,
1.963248,1,0.050,0.052,0.00
1.984400,0,,,
2.917556,1,0.100,0.052,0.00
2.938754,0,,,
3.881489,1,0.150,0.052,0.00
3.902773,0,,,
4.835834,1,0.200,0.052,0.00
4.857149,0,,,
5.799833,1,0.250,0.052,0.00
5.821254,0,,,
6.754111,1,0.300,0.052,0.00
6.775562,0,,,
7.718135,1,0.350,0.052,0.00
7.739644,0,,,
8.672470,1,0.400,0.052,0.00
8.693987,0,,,
9.636448,1,0.450,0.052,0.00
9.657960,0,,,
10.590805,1,0.500,0.052,0.00
10.612367,0,,,
11.554784,1,0.550,0.052,0.00
11.576318,0,,,
12.509094,1,0.600,0.052,0.00
12.530669,0,,,
13.473029,1,0.650,0.052,0.00
13.494631,0,,,
14.427318,1,0.700,0.052,0.00
14.448956,0,,,
15.391278,1,0.750,0.052,0.00
15.412992,0,,,
16.345555,1,0.800,0.052,0.00
16.367296,0,,,
17.309529,1,0.850,,
17.331367,0,,,
