"Time","GateState","Distance","Velocity","Acceleration"
0.795639,1,0.000,,
0.825579,0,,,
1.777357,1,0.050,0.052,0.00
1.807301,0,,,
2.712709,1,0.100,0.052,0.00
2.742735,0,,,
3.694502,1,0.150,0.052,0.00
3.724542,0,,,
4.629735,1,0.200,0.052,0.00
4.659840,0,,,
5.611610,1,0.250,0.052,0.00
5.641772,0,,,
6.546846,1,0.300,0.052,0.00
6.577009,0,,,
7.528701,1,0.350,0.052,0.00
7.558934,0,,,
8.463857,1,0.400,0.052,0.00
8.494093,0,,,
9.445746,1,0.450,0.052,0.00
9.476071,0,,,
10.380814,1,0.500,0.052,0.00
10.411140,0,,,
11.362826,1,0.550,0.052,0.00
11.393225,0,,,
12.297826,1,0.600,0.052,0.00
12.328262,0,,,
13.279886,1,0.650,0.052,0.00
13.310360,0,,,
14.214842,1,0.700,0.052,0.00
14.245370,0,,,
15.196987,1,0.750,0.052,0.00
15.227528,0,,,
16.131860,1,0.800,0.052,0.00
16.162467,0,,,
17.114068,1,0.850,,
17.144682,0,,,
