"Time","GateState","Distance","Velocity","Acceleration"
0.383587,1,0.000,,
0.415162,0,,,
1.334164,1,0.050,0.053,0.00
1.365519,0,,,
2.288240,1,0.100,0.053,0.00
2.319441,0,,,
3.238748,1,0.150,0.053,0.00
3.269977,0,,,
4.192756,1,0.200,0.053,0.00
4.224172,0,,,
5.143131,1,0.250,0.053,0.00
5.174817,0,,,
6.097204,1,0.300,0.053,0.00
6.128967,0,,,
7.047741,1,0.350,0.053,0.00
7.079382,0,,,
8.001803,1,0.400,0.053,0.00
8.033362,0,,,
8.952220,1,0.450,0.053,0.00
8.983796,0,,,
9.906133,1,0.500,0.053,0.00
9.937853,0,,,
10.856536,1,0.550,0.053,0.00
10.888454,0,,,
11.810572,1,0.600,0.053,0.00
11.842528,0,,,
12.761139,1,0.650,0.053,0.00
12.792983,0,,,
13.715152,1,0.700,0.053,0.00
13.746939,0,,,
14.665577,1,0.750,0.053,0.00
14.697400,0,,,
15.619448,1,0.800,0.053,0.00
15.651434,0,,,
16.569782,1,0.850,0.053,0.00
16.601978,0,,,
17.523765,1,0.900,,
17.556008,0,,,
