"Time","GateState","Distance","Velocity","Acceleration"
0.791798,1,0.000,,
0.824705,0,,,
1.731292,1,0.050,0.052,0.00
1.764101,0,,,
2.702614,1,0.100,0.052,0.00
2.735548,0,,,
3.642094,1,0.150,0.052,0.00
3.674943,0,,,
4.613544,1,0.200,0.052,0.00
4.646492,0,,,
5.552985,1,0.250,0.052,0.00
5.585912,0,,,
6.524456,1,0.300,0.052,0.00
6.557472,0,,,
7.463836,1,0.350,0.052,0.00
7.496892,0,,,
8.435343,1,0.400,0.052,0.00
8.468467,0,,,
9.374656,1,0.450,0.052,0.00
9.407855,0,,,
10.346203,1,0.500,0.052,0.00
10.379436,0,,,
11.285459,1,0.550,0.052,0.00
11.318751,0,,,
12.257051,1,0.600,0.052,0.00
12.290363,0,,,
13.196350,1,0.650,0.052,0.00
13.229704,0,,,
14.168070,1,0.700,0.052,0.00
14.201429,0,,,
15.107279,1,0.750,0.052,0.00
15.140719,0,,,
16.079122,1,0.800,0.052,0.00
16.112539,0,,,
17.018202,1,0.850,,
17.051747,0,,,
17.990012,1,,,
