"Time","GateState","Distance","Velocity","Acceleration"
1.454009,1,0.000,,
1.480491,0,,,
2.430249,1,0.050,0.052,0.00
2.456806,0,,,
3.371012,1,0.100,0.052,0.00
3.397574,0,,,
4.347346,1,0.150,0.052,0.00
4.374011,0,,,
5.288076,1,0.200,0.052,0.00
5.314688,0,,,
6.264460,1,0.250,0.052,0.00
6.291205,0,,,
7.205195,1,0.300,0.052,0.00
7.231895,0,,,
8.181590,1,0.350,0.052,0.00
8.208452,0,,,
9.122250,1,0.400,0.052,0.00
9.149068,0,,,
10.098729,1,0.450,0.052,0.00
10.125674,0,,,
11.039333,1,0.500,0.052,0.00
11.066244,0,,,
12.015910,1,0.550,0.052,0.00
12.042920,0,,,
12.956462,1,0.600,0.052,0.00
12.983459,0,,,
13.933090,1,0.650,0.052,0.00
13.960152,0,,,
14.873582,1,0.700,0.052,0.00
14.900683,0,,,
15.850284,1,0.750,0.052,0.00
15.877413,0,,,
16.790676,1,0.800,0.052,0.00
16.817878,0,,,
17.767467,1,0.850,,
17.794653,0,,,
