"Time","GateState","Distance","Velocity","Acceleration"
0.800410,1,0.000,,
0.835535,0,,,
1.751468,1,0.050,0.052,0.00
1.786632,0,,,
2.713933,1,0.100,0.052,0.00
2.749240,0,,,
3.665224,1,0.150,0.052,0.00
3.700670,0,,,
4.627870,1,0.200,0.052,0.00
4.663271,0,,,
5.579163,1,0.250,0.052,0.00
5.614343,0,,,
6.541596,1,0.300,0.052,0.00
6.576889,0,,,
7.492505,1,0.350,0.052,0.00
7.528240,0,,,
8.455016,1,0.400,0.052,0.00
8.490827,0,,,
9.406299,1,0.450,0.052,0.00
9.441837,0,,,
10.368860,1,0.500,0.052,0.00
10.404325,0,,,
11.319891,1,0.550,0.052,0.00
11.355483,0,,,
12.282404,1,0.600,0.052,0.00
12.318139,0,,,
13.233647,1,0.650,0.052,0.00
13.269504,0,,,
14.196273,1,0.700,0.052,0.00
14.232086,0,,,
15.147418,1,0.750,0.052,0.00
15.183074,0,,,
16.109857,1,0.800,0.052,0.00
16.145617,0,,,
17.060781,1,0.850,,
17.096896,0,,,
