"Time","GateState","Distance","Velocity","Acceleration"
0.405043,1,0.000,,
0.437965,0,,,
1.348028,1,0.050,0.052,0.00
1.380979,0,,,
2.311132,1,0.100,0.052,0.00
2.344081,0,,,
3.254043,1,0.150,0.052,0.00
3.287114,0,,,
4.217239,1,0.200,0.052,0.00
4.250198,0,,,
5.160041,1,0.250,0.052,0.00
5.193174,0,,,
6.123249,1,0.300,0.052,0.00
6.156231,0,,,
7.066082,1,0.350,0.052,0.00
7.099264,0,,,
8.029322,1,0.400,0.052,0.00
8.062332,0,,,
8.972062,1,0.450,0.052,0.00
9.005271,0,,,
9.935359,1,0.500,0.052,0.00
9.968413,0,,,
10.878091,1,0.550,0.052,0.00
10.911318,0,,,
11.841489,1,0.600,0.052,0.00
11.874602,0,,,
12.784121,1,0.650,0.052,0.00
12.817377,0,,,
13.747547,1,0.700,0.052,0.00
13.780768,0,,,
14.690162,1,0.750,0.052,0.00
14.723451,0,,,
15.653570,1,0.800,0.052,0.00
15.686882,0,,,
16.596189,1,0.850,0.052,0.00
16.629538,0,,,
17.559543,1,0.900,,
17.592984,0,,,
