"Time","GateState","Distance","Velocity","Acceleration"
0.545822,1,0.000,,
0.581586,0,,,
1.483621,1,0.050,0.052,0.00
1.519416,0,,,
2.459986,1,0.100,0.052,0.00
2.495683,0,,,
3.397716,1,0.150,0.052,0.00
3.433505,0,,,
4.374003,1,0.200,0.052,0.00
4.409712,0,,,
5.311818,1,0.250,0.052,0.00
5.347600,0,,,
6.287999,1,0.300,0.052,0.00
6.323809,0,,,
7.225891,1,0.350,0.052,0.00
7.261723,0,,,
8.202062,1,0.400,0.052,0.00
8.237965,0,,,
9.139956,1,0.450,0.052,0.00
9.175856,0,,,
10.116198,1,0.500,0.052,0.00
10.152124,0,,,
11.053991,1,0.550,0.052,0.00
11.089905,0,,,
12.030332,1,0.600,0.052,0.00
12.066226,0,,,
12.968037,1,0.650,0.052,0.00
13.003930,0,,,
13.944416,1,0.700,0.052,0.00
13.980313,0,,,
14.882062,1,0.750,0.052,0.00
14.917980,0,,,
15.858462,1,0.800,0.052,0.00
15.894428,0,,,
16.796104,1,0.850,0.052,0.00
16.832102,0,,,
17.772494,1,0.900,,
17.808512,0,,,
