"Time","GateState","Distance","Velocity","Acceleration"
0.484802,1,0.000,,
0.525435,0,,,
1.427282,1,0.050,0.052,0.00
1.467860,0,,,
2.402522,1,0.100,0.052,0.00
2.443084,0,,,
3.344925,1,0.150,0.052,0.00
3.385601,0,,,
4.320086,1,0.200,0.052,0.00
4.360694,0,,,
5.262725,1,0.250,0.052,0.00
5.303485,0,,,
6.237651,1,0.300,0.052,0.00
6.278284,0,,,
7.180534,1,0.350,0.052,0.00
7.221195,0,,,
8.155295,1,0.400,0.052,0.00
8.196092,0,,,
9.098157,1,0.450,0.052,0.00
9.138843,0,,,
10.073152,1,0.500,0.052,0.00
10.113969,0,,,
11.015737,1,0.550,0.052,0.00
11.056446,0,,,
11.990903,1,0.600,0.052,0.00
12.031697,0,,,
12.933285,1,0.650,0.052,0.00
12.974094,0,,,
13.908530,1,0.700,0.052,0.00
13.949325,0,,,
14.851002,1,0.750,0.052,0.00
14.891922,0,,,
15.826099,1,0.800,0.052,0.00
15.866887,0,,,
16.768811,1,0.850,0.052,0.00
16.809696,0,,,
17.743685,1,0.900,,
17.784612,0,,,
