"Time","GateState","Distance","Velocity","Acceleration"
0.432087,1,0.000,,
0.471457,0,,,
1.368497,1,0.050,0.052,0.00
1.407838,0,,,
2.343753,1,0.100,0.052,0.00
2.383217,0,,,
3.279988,1,0.150,0.052,0.00
3.319235,0,,,
4.255461,1,0.200,0.052,0.00
4.294915,0,,,
5.191351,1,0.250,0.052,0.00
5.230692,0,,,
6.167079,1,0.300,0.052,0.00
6.206511,0,,,
7.102831,1,0.350,0.052,0.00
7.142187,0,,,
8.078679,1,0.400,0.052,0.00
8.118106,0,,,
9.014283,1,0.450,0.052,0.00
9.053747,0,,,
9.990182,1,0.500,0.052,0.00
10.029570,0,,,
10.925842,1,0.550,0.052,0.00
10.965374,0,,,
11.901590,1,0.600,0.052,0.00
11.941058,0,,,
12.837372,1,0.650,0.052,0.00
12.876947,0,,,
13.813014,1,0.700,0.052,0.00
13.852478,0,,,
14.748975,1,0.750,0.052,0.00
14.788591,0,,,
15.724472,1,0.800,0.052,0.00
15.764091,0,,,
16.660508,1,0.850,0.052,0.00
16.700075,0,,,
17.636055,1,0.900,,
17.675651,0,,,
