"Time","GateState","Distance","Velocity","Acceleration"
0.297124,1,0.000,,
0.335286,0,,,
1.240041,1,0.050,0.052,0.00
1.278303,0,,,
2.208188,1,0.100,0.052,0.00
2.246498,0,,,
3.151031,1,0.150,0.052,0.00
3.189223,0,,,
4.119285,1,0.200,0.052,0.00
4.157616,0,,,
5.062066,1,0.250,0.052,0.00
5.100238,0,,,
6.030436,1,0.300,0.052,0.00
6.068664,0,,,
6.973014,1,0.350,0.052,0.00
7.011339,0,,,
7.941500,1,0.400,0.052,0.00
7.979759,0,,,
8.884024,1,0.450,0.052,0.00
8.922436,0,,,
9.852463,1,0.500,0.052,0.00
9.890832,0,,,
10.795098,1,0.550,0.052,0.00
10.833506,0,,,
11.763491,1,0.600,0.052,0.00
11.801850,0,,,
12.706254,1,0.650,0.052,0.00
12.744655,0,,,
13.674502,1,0.700,0.052,0.00
13.712849,0,,,
14.617274,1,0.750,0.052,0.00
14.655767,0,,,
15.585517,1,0.800,0.052,0.00
15.623998,0,,,
16.528276,1,0.850,0.052,0.00
16.566737,0,,,
17.496560,1,0.900,,
17.535118,0,,,
