"Time","GateState","Distance","Velocity","Acceleration"
0.296726,1,0.000,,
0.324970,0,,,
1.252907,1,0.050,0.053,0.00
1.281442,0,,,
2.198262,1,0.100,0.053,0.00
2.226604,0,,,
3.154503,1,0.150,0.053,0.00
3.183131,0,,,
4.099728,1,0.200,0.053,0.00
4.128241,0,,,
5.056011,1,0.250,0.053,0.00
5.084679,0,,,
6.001138,1,0.300,0.053,0.00
6.029838,0,,,
6.957512,1,0.350,0.053,0.00
6.986193,0,,,
7.902550,1,0.400,0.053,0.00
7.931404,0,,,
8.859043,1,0.450,0.053,0.00
8.887745,0,,,
9.804009,1,0.500,0.053,0.00
9.832954,0,,,
10.760494,1,0.550,0.053,0.00
10.789255,0,,,
11.705470,1,0.600,0.053,0.00
11.734444,0,,,
12.661937,1,0.650,0.053,0.00
12.690800,0,,,
13.606897,1,0.700,0.053,0.00
13.635874,0,,,
14.563299,1,0.750,0.053,0.00
14.592306,0,,,
15.508338,1,0.800,0.053,0.00
15.537321,0,,,
16.464634,1,0.850,0.053,0.00
16.493782,0,,,
17.409702,1,0.900,,
17.438739,0,,,
