"Time","GateState","Distance","Velocity","Acceleration"
0.884905,1,0.000,,
0.933380,0,,,
1.750718,1,0.050,0.053,-0.01
1.798878,0,,,
2.804458,1,0.100,0.053,0.01
2.852909,0,,,
3.671123,1,0.150,0.053,-0.01
3.719494,0,,,
4.724812,1,0.200,0.053,0.01
4.773114,0,,,
5.590841,1,0.250,0.053,-0.01
5.639519,0,,,
6.645016,1,0.300,0.053,0.01
6.693670,0,,,
7.510479,1,0.350,0.053,-0.01
7.559047,0,,,
8.564854,1,0.400,0.053,0.01
8.613632,0,,,
9.430509,1,0.450,0.053,-0.01
9.479127,0,,,
10.484768,1,0.500,0.053,0.01
10.533459,0,,,
11.350484,1,0.550,0.053,-0.01
11.399332,0,,,
12.404987,1,0.600,0.053,0.01
12.453801,0,,,
13.270047,1,0.650,0.053,-0.01
13.318998,0,,,
14.325142,1,0.700,0.053,0.01
14.374151,0,,,
15.189859,1,0.750,0.053,-0.01
15.238806,0,,,
16.244849,1,0.800,0.053,0.01
16.293937,0,,,
17.109877,1,0.850,,
17.158900,0,,,
