"Time","GateState","Distance","Velocity","Acceleration"
0.395653,1,0.000,,
0.434082,0,,,
1.346369,1,0.050,0.052,0.00
1.384906,0,,,
2.306365,1,0.100,0.052,0.00
2.344833,0,,,
3.257000,1,0.150,0.052,0.00
3.295569,0,,,
4.217130,1,0.200,0.052,0.00
4.255635,0,,,
5.167648,1,0.250,0.052,0.00
5.206247,0,,,
6.127914,1,0.300,0.052,0.00
6.166436,0,,,
7.078293,1,0.350,0.052,0.00
7.116931,0,,,
8.038667,1,0.400,0.052,0.00
8.077206,0,,,
8.988959,1,0.450,0.052,0.00
9.027646,0,,,
9.949377,1,0.500,0.052,0.00
9.987935,0,,,
10.899658,1,0.550,0.052,0.00
10.938408,0,,,
11.860057,1,0.600,0.052,0.00
11.898641,0,,,
12.810394,1,0.650,0.052,0.00
12.849183,0,,,
13.770701,1,0.700,0.052,0.00
13.809339,0,,,
14.721139,1,0.750,0.052,0.00
14.759943,0,,,
15.681349,1,0.800,0.052,0.00
15.720058,0,,,
16.631868,1,0.850,0.052,0.00
16.670670,0,,,
17.592008,1,0.900,,
17.630795,0,,,
