"Time","GateState","Distance","Velocity","Acceleration"
0.384805,1,0.000,,
0.415433,0,,,
1.326649,1,0.050,0.053,0.00
1.356985,0,,,
2.288103,1,0.100,0.053,0.00
2.318577,0,,,
3.229572,1,0.150,0.053,0.00
3.260245,0,,,
4.191221,1,0.200,0.053,0.00
4.221801,0,,,
5.132569,1,0.250,0.053,0.00
5.163335,0,,,
6.094099,1,0.300,0.053,0.00
6.124980,0,,,
7.035661,1,0.350,0.053,0.00
7.066323,0,,,
7.997236,1,0.400,0.053,0.00
8.027965,0,,,
8.938547,1,0.450,0.053,0.00
8.969527,0,,,
9.900244,1,0.500,0.053,0.00
9.931164,0,,,
10.841616,1,0.550,0.053,0.00
10.872559,0,,,
11.803214,1,0.600,0.053,0.00
11.834299,0,,,
12.744677,1,0.650,0.053,0.00
12.775602,0,,,
13.706344,1,0.700,0.053,0.00
13.737295,0,,,
14.647551,1,0.750,0.053,0.00
14.678773,0,,,
15.609305,1,0.800,0.053,0.00
15.640509,0,,,
16.550644,1,0.850,0.053,0.00
16.581785,0,,,
17.512365,1,0.900,,
17.543635,0,,,
