"Time","GateState","Distance","Velocity","Acceleration"
0.018484,1,0.000,,
0.041735,0,,,
0.999458,1,0.050,0.052,0.00
1.022800,0,,,
1.935512,1,0.100,0.052,0.00
1.958849,0,,,
2.916561,1,0.150,0.052,0.00
2.939984,0,,,
3.852616,1,0.200,0.052,0.00
3.876017,0,,,
4.833730,1,0.250,0.052,0.00
4.857205,0,,,
5.769708,1,0.300,0.052,0.00
5.793196,0,,,
6.750925,1,0.350,0.052,0.00
6.774458,0,,,
7.686762,1,0.400,0.052,0.00
7.710353,0,,,
8.667956,1,0.450,0.052,0.00
8.691597,0,,,
9.603653,1,0.500,0.052,0.00
9.627329,0,,,
10.584948,1,0.550,0.052,0.00
10.608655,0,,,
11.520648,1,0.600,0.052,0.00
11.544379,0,,,
12.502042,1,0.650,0.052,0.00
12.525803,0,,,
13.437667,1,0.700,0.052,0.00
13.461467,0,,,
14.419119,1,0.750,0.052,0.00
14.442946,0,,,
15.354609,1,0.800,0.052,0.00
15.378518,0,,,
16.336189,1,0.850,0.052,0.00
16.360114,0,,,
17.271573,1,0.900,,
17.295571,0,,,
