"Time","GateState","Distance","Velocity","Acceleration"
0.643088,1,0.000,,
0.680384,0,,,
1.583271,1,0.050,0.052,0.00
1.620511,0,,,
2.556110,1,0.100,0.052,0.00
2.593492,0,,,
3.496173,1,0.150,0.052,0.00
3.533561,0,,,
4.469245,1,0.200,0.052,0.00
4.506388,0,,,
5.409138,1,0.250,0.052,0.00
5.446488,0,,,
6.382175,1,0.300,0.052,0.00
6.419508,0,,,
7.322215,1,0.350,0.052,0.00
7.359560,0,,,
8.295073,1,0.400,0.052,0.00
8.332526,0,,,
9.235159,1,0.450,0.052,0.00
9.272625,0,,,
10.208004,1,0.500,0.052,0.00
10.245457,0,,,
11.148079,1,0.550,0.052,0.00
11.185594,0,,,
12.121004,1,0.600,0.052,0.00
12.158440,0,,,
13.061084,1,0.650,0.052,0.00
13.098540,0,,,
14.033950,1,0.700,0.052,0.00
14.071495,0,,,
14.974031,1,0.750,0.052,0.00
15.011537,0,,,
15.946899,1,0.800,0.052,0.00
15.984480,0,,,
16.886924,1,0.850,0.052,0.00
16.924526,0,,,
17.859934,1,0.900,,
17.897459,0,,,
