"Time","GateState","Distance","Velocity","Acceleration"
1.039125,1,0.000,,
1.064078,0,,,
2.001958,1,0.050,0.052,0.00
2.026978,0,,,
2.955984,1,0.100,0.052,0.00
2.980941,0,,,
3.918940,1,0.150,0.052,0.00
3.943977,0,,,
4.872766,1,0.200,0.052,0.00
4.897761,0,,,
5.835895,1,0.250,0.052,0.00
5.860943,0,,,
6.789617,1,0.300,0.052,0.00
6.814647,0,,,
7.752799,1,0.350,0.052,0.00
7.777881,0,,,
8.706472,1,0.400,0.052,0.00
8.731582,0,,,
9.669680,1,0.450,0.052,0.00
9.694784,0,,,
10.623391,1,0.500,0.052,0.00
10.648544,0,,,
11.586507,1,0.550,0.052,0.00
11.611651,0,,,
12.540320,1,0.600,0.052,0.00
12.565498,0,,,
13.503354,1,0.650,0.052,0.00
13.528528,0,,,
14.457242,1,0.700,0.052,0.00
14.482427,0,,,
15.420239,1,0.750,0.052,0.00
15.445445,0,,,
16.374126,1,0.800,0.052,0.00
16.399318,0,,,
17.337169,1,0.850,,
17.362392,0,,,
