"Time","GateState","Distance","Velocity","Acceleration"
0.700067,1,0.000,,
0.734246,0,,,
1.673778,1,0.050,0.052,0.00
1.707585,0,,,
2.616160,1,0.100,0.052,0.00
2.650652,0,,,
3.589545,1,0.150,0.052,0.00
3.623752,0,,,
4.532485,1,0.200,0.052,0.00
4.566780,0,,,
5.505568,1,0.250,0.052,0.00
5.539943,0,,,
6.448784,1,0.300,0.052,0.00
6.482776,0,,,
7.421721,1,0.350,0.052,0.00
7.455914,0,,,
8.364777,1,0.400,0.052,0.00
8.398850,0,,,
9.337905,1,0.450,0.052,0.00
9.371931,0,,,
10.280678,1,0.500,0.052,0.00
10.315061,0,,,
11.253918,1,0.550,0.052,0.00
11.288160,0,,,
12.196689,1,0.600,0.052,0.00
12.231163,0,,,
13.169951,1,0.650,0.052,0.00
13.204505,0,,,
14.112813,1,0.700,0.052,0.00
14.147077,0,,,
15.086140,1,0.750,0.052,0.00
15.120682,0,,,
16.028877,1,0.800,0.052,0.00
16.063043,0,,,
17.002322,1,0.850,0.052,0.00
17.036592,0,,,
17.944819,1,0.900,,
17.979206,0,,,
