"Time","GateState","Distance","Velocity","Acceleration"
1.150105,1,0.000,,
1.170250,0,,,
2.119992,1,0.050,0.052,0.00
2.140143,0,,,
3.067889,1,0.100,0.052,0.00
3.088096,0,,,
4.037831,1,0.150,0.052,0.00
4.058069,0,,,
4.985651,1,0.200,0.052,0.00
5.005932,0,,,
5.955626,1,0.250,0.052,0.00
5.975952,0,,,
6.903469,1,0.300,0.052,0.00
6.923810,0,,,
7.873418,1,0.350,0.052,0.00
7.893835,0,,,
8.821215,1,0.400,0.052,0.00
8.841627,0,,,
9.791204,1,0.450,0.052,0.00
9.811708,0,,,
10.738974,1,0.500,0.052,0.00
10.759466,0,,,
11.709002,1,0.550,0.052,0.00
11.729600,0,,,
12.656716,1,0.600,0.052,0.00
12.677301,0,,,
13.626775,1,0.650,0.052,0.00
13.647453,0,,,
14.574466,1,0.700,0.052,0.00
14.595141,0,,,
15.544600,1,0.750,0.052,0.00
15.565352,0,,,
16.492189,1,0.800,0.052,0.00
16.512950,0,,,
17.462370,1,0.850,,
17.483193,0,,,
