"Time","GateState","Distance","Velocity","Acceleration"
0.819514,1,0.000,,
0.847254,0,,,
1.789252,1,0.050,0.052,0.00
1.816935,0,,,
2.735899,1,0.100,0.052,0.00
2.763762,0,,,
3.705554,1,0.150,0.052,0.00
3.733322,0,,,
4.652445,1,0.200,0.052,0.00
4.680341,0,,,
5.621862,1,0.250,0.052,0.00
5.649732,0,,,
6.568978,1,0.300,0.052,0.00
6.596780,0,,,
7.538322,1,0.350,0.052,0.00
7.566134,0,,,
8.485437,1,0.400,0.052,0.00
8.513235,0,,,
9.454778,1,0.450,0.052,0.00
9.482609,0,,,
10.401709,1,0.500,0.052,0.00
10.429594,0,,,
11.371241,1,0.550,0.052,0.00
11.399150,0,,,
12.318052,1,0.600,0.052,0.00
12.345990,0,,,
13.287682,1,0.650,0.052,0.00
13.315680,0,,,
14.234422,1,0.700,0.052,0.00
14.262358,0,,,
15.204153,1,0.750,0.052,0.00
15.232163,0,,,
16.150808,1,0.800,0.052,0.00
16.178744,0,,,
17.120610,1,0.850,,
17.148570,0,,,
