0.262147,1,0.000,,
0.292334,0,,,
1.141388,1,0.050,0.053,-0.01
1.171620,0,,,
2.174383,1,0.100,0.053,0.01
2.204604,0,,,
3.053502,1,0.150,0.053,-0.01
3.083774,0,,,
4.086580,1,0.200,0.053,0.01
4.116860,0,,,
4.965636,1,0.250,0.053,-0.01
4.995932,0,,,
5.998811,1,0.300,0.053,0.01
6.029115,0,,,
6.877757,1,0.350,0.053,-0.01
6.908119,0,,,
7.911044,1,0.400,0.053,0.01
7.941386,0,,,
8.789910,1,0.450,0.053,-0.01
8.820275,0,,,
9.823259,1,0.500,0.053,0.01
9.853640,0,,,
10.702014,1,0.550,0.053,-0.01
10.732433,0,,,
11.735466,1,0.600,0.053,0.01
11.765880,0,,,
12.614137,1,0.650,0.053,-0.01
12.644587,0,,,
13.647679,1,0.700,0.053,0.01
13.678135,0,,,
14.526255,1,0.750,0.053,-0.01
14.556743,0,,,
15.559901,1,0.800,0.053,0.01
15.590378,0,,,
16.438379,1,0.850,0.053,-0.01
16.468894,0,,,
17.472105,1,0.900,,
17.502623,0,,,
