"Time","GateState","Distance","Velocity","Acceleration"
0.965734,1,0.000,,
0.986628,0,,,
1.932637,1,0.050,0.052,0.00
1.953541,0,,,
2.883004,1,0.100,0.052,0.00
2.903962,0,,,
3.849906,1,0.150,0.052,0.00
3.870867,0,,,
4.800231,1,0.200,0.052,0.00
4.821244,0,,,
5.767142,1,0.250,0.052,0.00
5.788166,0,,,
6.717490,1,0.300,0.052,0.00
6.738527,0,,,
7.684394,1,0.350,0.052,0.00
7.705453,0,,,
8.634774,1,0.400,0.052,0.00
8.655811,0,,,
9.601673,1,0.450,0.052,0.00
9.622743,0,,,
10.552023,1,0.500,0.052,0.00
10.573070,0,,,
11.518942,1,0.550,0.052,0.00
11.540012,0,,,
12.469269,1,0.600,0.052,0.00
12.490339,0,,,
13.436204,1,0.650,0.052,0.00
13.457288,0,,,
14.386505,1,0.700,0.052,0.00
14.407613,0,,,
15.353454,1,0.750,0.052,0.00
15.374571,0,,,
16.303708,1,0.800,0.052,0.00
16.324871,0,,,
17.270674,1,0.850,,
17.291843,0,,,
