"Time","GateState","Distance","Velocity","Acceleration"
0.853966,1,0.000,,
0.871573,0,,,
1.823991,1,0.050,0.052,0.00
1.841622,0,,,
2.772250,1,0.100,0.052,0.00
2.789921,0,,,
3.742408,1,0.150,0.052,0.00
3.760110,0,,,
4.690519,1,0.200,0.052,0.00
4.708270,0,,,
5.660719,1,0.250,0.052,0.00
5.678501,0,,,
6.608763,1,0.300,0.052,0.00
6.626592,0,,,
7.578990,1,0.350,0.052,0.00
7.596841,0,,,
8.527004,1,0.400,0.052,0.00
8.544887,0,,,
9.497271,1,0.450,0.052,0.00
9.515186,0,,,
10.445193,1,0.500,0.052,0.00
10.463154,0,,,
11.415461,1,0.550,0.052,0.00
11.433455,0,,,
12.363336,1,0.600,0.052,0.00
12.381369,0,,,
13.333661,1,0.650,0.052,0.00
13.351731,0,,,
14.281482,1,0.700,0.052,0.00
14.299585,0,,,
15.251860,1,0.750,0.052,0.00
15.269996,0,,,
16.199643,1,0.800,0.052,0.00
16.217819,0,,,
17.170053,1,0.850,,
17.188266,0,,,
