V,I
0,0.015
0.02,0.014
0.03,0.013
0.04,0.013
0.05,0.012
0.06,0.012
0.08,0.011
0.1,0.01
0.12,0.009
0.14,0.008
0.16,0.008
0.18,0.008
0.2,0.007
0.22,0.006
0.24,0.005
0.25,0.005
0.26,0.004
0.27,0.004
0.28,0.004
0.3,0.003
0.32,0.002
0.33,0.001
0.39,0
